Estimator,MSE,seconds,regret
IPS,3.828507577985701e-06,1.317033290863037,0.0
DM,3.9098646270759485e-06,1.2611870765686035,8.135704909024726e-08
DR,3.910621553163834e-06,1.4350671768188477,8.211397517813273e-08
OCV$_{\mathregular{IPS}}$,3.828507577985701e-06,47.86490297317505,0.0
OCV$_{\mathregular{DR}}$,3.828507577985701e-06,50.23433494567871,0.0
SLOPE,3.9098646270759485e-06,9.42648196220398,8.135704909024726e-08
PAS-IF,3.828507577985701e-06,161.81155800819397,0.0
IPS,4.863058989876089e-07,1.3213067054748535,0.0
DM,8.969783219776885e-07,1.264657974243164,4.106724229900796e-07
DR,8.912705664751997e-07,1.3859848976135254,4.049646674875908e-07
OCV$_{\mathregular{IPS}}$,4.863058989876089e-07,47.622570753097534,0.0
OCV$_{\mathregular{DR}}$,4.863058989876089e-07,49.336466789245605,0.0
SLOPE,8.969783219776885e-07,9.69758939743042,4.106724229900796e-07
PAS-IF,4.863058989876089e-07,160.40195488929749,0.0
IPS,7.802502889027819e-07,1.3317179679870605,0.0
DM,8.421510707314032e-07,1.270862102508545,6.190078182862138e-08
DR,8.420019273812471e-07,1.4055380821228027,6.17516384784653e-08
OCV$_{\mathregular{IPS}}$,8.420019273812471e-07,48.04082202911377,6.17516384784653e-08
OCV$_{\mathregular{DR}}$,7.802502889027819e-07,49.987632751464844,0.0
SLOPE,8.421510707314032e-07,9.306226968765259,6.190078182862138e-08
PAS-IF,7.802502889027819e-07,161.8098030090332,0.0
IPS,1.697096291444563e-06,1.3290479183197021,0.0
DM,3.590110082308166e-06,1.2577617168426514,1.893013790863603e-06
DR,3.581741740341045e-06,1.3680071830749512,1.884645448896482e-06
OCV$_{\mathregular{IPS}}$,3.581741740341045e-06,47.500091314315796,1.884645448896482e-06
OCV$_{\mathregular{DR}}$,1.697096291444563e-06,49.6588020324707,0.0
SLOPE,3.590110082308166e-06,9.32976484298706,1.893013790863603e-06
PAS-IF,3.590110082308166e-06,140.1130781173706,1.893013790863603e-06
IPS,5.116357361103466e-09,1.3362019062042236,0.0
DM,2.213072787910573e-08,1.2693958282470703,1.7014370518002266e-08
DR,2.2836023133556794e-08,1.3913168907165527,1.771966577245333e-08
OCV$_{\mathregular{IPS}}$,5.116357361103466e-09,47.09550094604492,0.0
OCV$_{\mathregular{DR}}$,2.2836023133556794e-08,49.12405300140381,1.771966577245333e-08
SLOPE,2.213072787910573e-08,9.443765878677368,1.7014370518002266e-08
PAS-IF,2.213072787910573e-08,150.9019558429718,1.7014370518002266e-08
