Estimator,MSE,seconds,regret
IPS,3.828507577985701e-06,1.246236801147461,0.0
DM,3.9098646270759485e-06,1.2705543041229248,8.135704909024726e-08
DR,3.910621553163834e-06,1.3793792724609375,8.211397517813273e-08
OCV$_{\mathregular{IPS}}$,3.828507577985701e-06,45.6482207775116,0.0
OCV$_{\mathregular{DR}}$,3.828507577985701e-06,48.1988160610199,0.0
SLOPE,3.9098646270759485e-06,9.476099252700806,8.135704909024726e-08
PAS-IF,3.828507577985701e-06,168.68978691101074,0.0
IPS,4.863058989876089e-07,1.2724039554595947,0.0
DM,8.969783219776885e-07,1.313844919204712,4.106724229900796e-07
DR,8.912705664751997e-07,1.3573760986328125,4.049646674875908e-07
OCV$_{\mathregular{IPS}}$,4.863058989876089e-07,45.20011329650879,0.0
OCV$_{\mathregular{DR}}$,4.863058989876089e-07,47.52808094024658,0.0
SLOPE,8.969783219776885e-07,9.133877992630005,4.106724229900796e-07
PAS-IF,4.863058989876089e-07,162.34259486198425,0.0
IPS,7.802502889027819e-07,1.2369542121887207,0.0
DM,8.421510707314032e-07,1.2427232265472412,6.190078182862138e-08
DR,8.420019273812471e-07,1.2899446487426758,6.17516384784653e-08
OCV$_{\mathregular{IPS}}$,8.420019273812471e-07,44.39892888069153,6.17516384784653e-08
OCV$_{\mathregular{DR}}$,7.802502889027819e-07,46.33769488334656,0.0
SLOPE,8.421510707314032e-07,9.104298114776611,6.190078182862138e-08
PAS-IF,7.802502889027819e-07,167.4708800315857,0.0
IPS,1.697096291444563e-06,1.3449459075927734,0.0
DM,3.590110082308166e-06,1.5090117454528809,1.893013790863603e-06
DR,3.581741740341045e-06,1.3631632328033447,1.884645448896482e-06
OCV$_{\mathregular{IPS}}$,3.581741740341045e-06,46.23998308181763,1.884645448896482e-06
OCV$_{\mathregular{DR}}$,1.697096291444563e-06,50.33982586860657,0.0
SLOPE,3.590110082308166e-06,9.49186396598816,1.893013790863603e-06
PAS-IF,3.590110082308166e-06,154.77880191802979,1.893013790863603e-06
IPS,5.116357361103466e-09,1.2826628684997559,0.0
DM,2.213072787910573e-08,1.2999858856201172,1.7014370518002266e-08
DR,2.2836023133556794e-08,1.4238290786743164,1.771966577245333e-08
OCV$_{\mathregular{IPS}}$,5.116357361103466e-09,46.61824107170105,0.0
OCV$_{\mathregular{DR}}$,2.2836023133556794e-08,49.67189025878906,1.771966577245333e-08
SLOPE,2.213072787910573e-08,9.57882809638977,1.7014370518002266e-08
PAS-IF,2.213072787910573e-08,168.8008749485016,1.7014370518002266e-08
