Estimator,MSE,seconds,regret
IPS,4.917344514631747e-07,1.650068998336792,4.7560694476142363e-07
DM,1.6604330183870104e-08,1.3390727043151855,4.768234821190649e-10
DR,1.612750670175104e-08,1.850494146347046,0.0
OCV$_{\mathregular{IPS}}$,4.917344514631747e-07,59.03480815887451,4.7560694476142363e-07
OCV$_{\mathregular{DR}}$,4.917344514631747e-07,61.92196321487427,4.7560694476142363e-07
SLOPE,1.6604330183870104e-08,11.082545757293701,4.768234821190649e-10
PAS-IF,4.917344514631747e-07,153.88984894752502,4.7560694476142363e-07
IPS,1.3192616717029732e-06,1.6236340999603271,1.2073564618254306e-06
DM,1.1332252816020744e-07,1.3752329349517822,1.4173182826649075e-09
DR,1.1190520987754253e-07,1.6773741245269775,0.0
OCV$_{\mathregular{IPS}}$,1.3192616717029732e-06,56.93292808532715,1.2073564618254306e-06
OCV$_{\mathregular{DR}}$,1.1190520987754253e-07,59.25341987609863,0.0
SLOPE,1.1332252816020744e-07,10.475810050964355,1.4173182826649075e-09
PAS-IF,1.3192616717029732e-06,154.1104600429535,1.2073564618254306e-06
IPS,5.24273580907041e-06,1.6267871856689453,1.8101118442500763e-06
DM,3.444368675246005e-06,1.290489912033081,1.1744710425671336e-08
DR,3.4326239648203337e-06,1.7056198120117188,0.0
OCV$_{\mathregular{IPS}}$,5.24273580907041e-06,56.95778775215149,1.8101118442500763e-06
OCV$_{\mathregular{DR}}$,3.4326239648203337e-06,58.51991105079651,0.0
SLOPE,3.444368675246005e-06,10.510015964508057,1.1744710425671336e-08
PAS-IF,5.24273580907041e-06,162.91879200935364,1.8101118442500763e-06
IPS,1.1503897270344003e-06,1.6878819465637207,0.0
DM,1.529666192573664e-06,1.2939190864562988,3.792764655392637e-07
DR,1.5150865560033753e-06,1.6860699653625488,3.64696828968975e-07
OCV$_{\mathregular{IPS}}$,1.5150865560033753e-06,56.643834829330444,3.64696828968975e-07
OCV$_{\mathregular{DR}}$,1.1503897270344003e-06,59.178075075149536,0.0
SLOPE,1.529666192573664e-06,10.531816959381104,3.792764655392637e-07
PAS-IF,1.1503897270344003e-06,147.27299189567566,0.0
IPS,1.2924029735998035e-06,1.6096410751342773,8.544920261090463e-07
DM,4.3791094749075715e-07,1.2910730838775635,0.0
DR,4.429285262303959e-07,1.76568603515625,5.0175787396387286e-09
OCV$_{\mathregular{IPS}}$,1.2924029735998035e-06,56.805959939956665,8.544920261090463e-07
OCV$_{\mathregular{DR}}$,1.2924029735998035e-06,58.5012149810791,8.544920261090463e-07
SLOPE,4.3791094749075715e-07,10.399232864379883,0.0
PAS-IF,1.2924029735998035e-06,162.436048746109,8.544920261090463e-07
